
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log_model:config_dict = {'uuid': 'DIP_project_gaussian_kernel=4_sigma=25', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 4, 'gaussian_sigma': 25}

INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 35.16855984553353
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.015511022866704
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 35.22007156277705
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.02563292445395
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 35.732603535626154
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.113982264220425
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 35.42244617137731
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.07198017039495
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 35.33702862900508
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.20645925995243
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 35.60323886702531
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.214411594394875
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 35.50801525425926
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.27446079392767
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 35.65953101201718
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.16083162810956
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 35.504670470788675
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.383505288056064
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 35.781675420325435
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.355062747506004
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.138577060631725
