INFO:logs/DIP_log_model_gaussian_with_noise.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_with_noise.log_model:config_dict = {'uuid': 'DIP_project_gaussian_with_noise', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 64}

INFO:logs/DIP_log_model_gaussian_with_noise.log:Training model...
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.1965621358501
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.147274840218234
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.200063853481456
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.199977567809956
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.23438861470536
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.201037660110448
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.222204765324943
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.3357583467438
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.248305741495592
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.107506394700113
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.258344323404074
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.209108397332294
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.262905772811123
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.347862292457023
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.267509424726846
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.24385406085683
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.24876191574544
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.16943931454454
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.25930924536724
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.29370198330099
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.28061354679327
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.32761183654426
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.255449778453972
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.284942228333872
