INFO:logs/DIP_log_model_gaussian_+_noise.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_+_noise.log_model:config_dict = {'uuid': 'DIP_project_gaussian_+_noise', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 64}

INFO:logs/DIP_log_model_gaussian_+_noise.log:Training model...
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.17167601244205
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 26.981986792934492
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.24860326556679
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.20160338765925
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.257725413394205
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.244910605768002
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.33105626215784
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.266119060113002
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.36591917394304
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.297525213090566
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.35200126668579
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.22827874574445
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.37740679175941
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.30306881561457
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.395888625301012
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.194667808973996
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.438788268688562
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.196025592776373
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.45611453882096
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.234116651529163
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.46859235433026
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.424759016844963
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.509245110191255
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.4659951859888
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.511198300215142
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.382037350710853
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.46935408693152
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.519180098532104
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.52764824487621
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.458657471367577
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.54461394702057
