INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log_model:config_dict = {'uuid': 'DIP_project_gaussian_kernel=128_sigma=3', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 128, 'gaussian_sigma': 3}

INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:Training model...
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.59533842515124
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.646041460884508
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.612026478097018
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.706478384797126
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.640241554901078
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.59465393826724
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 25.00041112404245
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.3634796548233
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.664059204932062
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.657220841554004
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.654018705207086
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.76777522845692
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.706325819033673
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.60103765779528
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.73522677407594
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.139803245109018
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.453311986390638
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.602288829615034
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.660349473904535
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.052738915900274
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.72360246138495
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.951633356338846
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.734076379542774
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.906969681947007
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.748233774184655
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.793962833959274
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.775585224028116
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.69744481282042
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.71705737062932
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.71034035865172
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.788101826827926
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.63131781444314
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.790559774269624
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.99678150793203
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.840609519135917
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.909814701713838
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.812495472953124
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.085530523771816
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.823312520464807
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.937551989786563
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.88576724069962
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.767299328889425
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.84216637146756
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.71572036130708
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.78712208976847
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.188118672534696
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.867939855619394
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.073811710983062
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.894247336681627
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.079873012799393
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.899371286516445
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.88998277459353
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.907586352265895
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.89481297616078
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.890493320913556
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.20955279096674
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.885434311837034
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.09813852041473
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.904027987128455
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.109939494455258
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.906150817765816
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.208712371368215
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.900541330827863
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.951983777912144
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.92137389842182
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.191797011122798
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.924341258470314
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.99951385140796
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.921003424778768
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.138413977089378
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.933846068888393
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.02030827108264
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.961807901984983
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.933561896873552
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.931363097330244
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.13817689078624
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.97422976750898
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.106724527589638
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.952962842713987
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.258366252498814
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.935648423464407
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.248317116020324
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.96740523651988
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.297907159115145
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.9565297070383
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.00621700517454
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.96778942590022
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.17013986630221
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.976262540164637
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.018385221829895
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.992733306112516
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.854208134785264
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.957685403608398
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.945680483865736
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.97238161467407
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.952663261879078
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.992816684551148
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.302540929262946
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.99705903138473
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.175054940935976
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.003566252464214
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.16701306661237
