INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log_model:config_dict = {'uuid': 'DIP_project_gaussian_kernel_sigma=3', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 64, 'gaussian_sigma': 3}

INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:Training model...
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.728450550912754
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 26.87682276433113
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.75177828719104
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 26.85253127290767
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 25.274280530799583
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 26.923846397905088
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.77520074364072
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.063000751248055
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.765385782930828
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 26.800067361256016
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.81651205658835
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.307936009366696
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.782188419450303
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 26.768144938076833
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.68855827353522
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 26.9236464412883
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.799943546837863
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.168038895067347
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.8427447208485
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 26.970512571803695
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.74383302148802
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.127739548580323
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.88670468053929
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 26.864684173580024
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.839608131172493
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.070522476910217
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.84694600503166
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.30309051865855
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.83109136927134
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.428141043793918
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.895789835500988
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 26.876640287470558
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.868678021714725
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.128326942078942
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.872785330080823
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.11955305957776
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.94404018760789
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.041516829627685
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.87503723686538
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.151694761919668
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.90866185537515
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.150991769249934
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.89402743341139
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.122461522285946
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.968458079983197
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.171776215127416
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.95816842896372
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.106852403659556
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.94346882069306
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.395392440094053
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.957551217032396
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.12160759468184
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.95802211510693
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.12523993819913
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.900977247706948
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 26.904015959111668
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.993361048467733
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.297926248753658
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.952792699699952
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.07829369535777
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.873745856530384
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.458786602850967
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.98957447935198
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.333438147824317
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.990650912551484
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.230725967843583
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.987254542624864
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.53517442277097
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.943119502380142
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.158985410614008
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.99817317254023
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.33850726128646
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.99836380075973
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.401060153680564
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.96419479362623
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.176154102119597
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.99567714788941
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.154869728521916
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.970325192635627
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.20427075272041
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.00377065843244
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.176198688512063
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.03115265804054
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.159298451615403
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.041446660614227
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.414384446041208
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.02440466108423
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.231980444987506
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.025401716924723
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.55536000563115
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.04319435418442
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.318977427048804
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.96439510194113
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.210962899735446
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.05776331708613
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.5510429435797
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.047871281890846
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.121054641617143
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.03659565963872
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.493920284815644
