INFO:logs/DIP_log_model_sinc_kernel=64.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_sinc_kernel=64.log_model:config_dict = {'uuid': 'DIP_project_sinc_kernel=64', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'sinc_size': 64}

INFO:logs/DIP_log_model_sinc_kernel=64.log:Training model...
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 32.8527932276963
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 32.62618547448113
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 32.90378772821593
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 32.80002231764754
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 32.965895377909256
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.05167532326576
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 32.957583912895444
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 32.72107299279951
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.04074866081444
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 32.57572138790422
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.07818417685331
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 32.84901073025502
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.05328857631644
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.186350835344356
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.137481326532836
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 32.65463416326637
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.06364893708892
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 32.99295659484713
